country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,17586073,18415307,19021226,19496836,19987071,20595360,21347782,22202806,23116142,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536,30551674
Albania,3357858,3341043,3331317,3325456,3317941,3304948,3286084,3263596,3239385,3216197,3196130,3179573,3166222,3156608,3151185,3150143,3153883,3162083,3173271
Algeria,29315463,29845208,30345466,30820435,31276295,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194
American Samoa,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58652,57919,57053,56245,55636,55274,55128,55165
Andorra,63854,64274,64090,63799,64084,65399,68000,71639,75643,79060,81223,81877,81292,79969,78659,77907,77865,78360,79218
Angola,12104952,12451945,12791388,13137542,13510616,13924930,14385283,14886574,15421075,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525,21471618
Anguilla,9807,10063,10305,10545,10797,11071,11371,11693,12023,12342,12637,12903,13145,13365,13571,13768,13956,14132,14300
Antigua and Barbuda,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85349,86300,87233,88152,89069,89985
Argentina,34833168,35264070,35690778,36109342,36514558,36903067,37273361,37627545,37970411,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927,41446246
Armenia,3223173,3173425,3137652,3112958,3093820,3076098,3059960,3047002,3036032,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081,2976566
Aruba,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101219,101344,101418,101597,101932,102384,102911
Australia,18124234,18339037,18563442,18794552,19027438,19259377,19487257,19714625,19953121,20218481,20520736,20865583,21246274,21645095,22037143,22404488,22740536,23050471,23342553
Austria,7985372,8009345,8014124,8009051,8007843,8020262,8049440,8091804,8142322,8193157,8238604,8277393,8311463,8342129,8371711,8401924,8432890,8463948,8495145
Azerbaijan,7770806,7852273,7921745,7984460,8047936,8117742,8195427,8279768,8370169,8465127,8563398,8665006,8770122,8877669,8986266,9094718,9202432,9308959,9413420
Bahamas,280050,283678,286845,289926,293442,297759,303005,309039,315624,322400,329088,335622,342049,348340,354492,360498,366331,371960,377374
Bahrain,563730,579697,597400,617537,640913,668239,698749,732541,772058,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827,1332171
